,Date,Text
35,2020-03-30 20:56:31+00:00,"#Iran: #Coronavirus Death Toll Exceeds 14,200 in 236 Cities The number of victims in the province of Ardabil is 400, Alborz 600, Chaharmahal and Bakhtiari 38, Khorasan Razavi 1120, North Khorasan 190, Zanjan 250, Gilan 1370, and Yazd 305 #COVID19"
36,2020-03-30 20:00:02+00:00,It could take three years for the US economy to recover from #COVID-19 https://bit.ly/2vZjNcW #coronavirus 
37,2020-03-30 19:37:25+00:00,#coronavirusQA I picked up a family member from hospital he as pneumonia so both of us were masks and gloves he sat in the back of the car.on way home he was called by hospital who said he has corona virus do I now need to isolate
38,2020-03-30 18:21:01+00:00,Just in case your Monday has been more rubbish than usual. https://bit.ly/3dyGIN9 #LifeInTheTimeOfCorona #HopeInTheTimeOfCorona #BeAnArchipelago
39,2020-03-30 17:52:25+00:00,"Help Killing @corona Virus ! Kathleen Bade @KathleenFOX5 · 9m New #coronavirus numbers out of #NewYork: 1,218 deaths. More than 66,000 confirmed cases, +9,500 people hospitalized, +2,300 in intensive care. https://twitter.com/LtdMu11/status/1244683589997993984"
40,2020-03-30 17:19:47+00:00,"#BREAKING France reports 418 more coronavirus deaths, toll now 3,024 "
41,2020-03-30 17:00:01+00:00,All i know is this corona virus better pack up n be gone by my bday
42,2020-03-30 16:28:16+00:00,Some heros don't wear capes #RespiratoryTherapists #coronavirus 
43,2020-03-30 16:05:15+00:00,#COVID19: 16 research projects are now under way at the @institutpasteur and several other projects submitted to the task force are set to begin shortly. Here is an inventory of the current research projects.
44,2020-03-30 15:40:09+00:00,This is so fuckin HARD pic.twitter.com/bqw2B5OZJs
45,2020-03-30 15:12:13+00:00,Get the latest information about novel corona virus from world health organization. 
46,2020-03-30 12:59:19+00:00,"🇷🇺 #Moscow went into lockdown this Monday in a bid to slow the spread of the #coronavirus The order coincides with the beginning of a ""non-working"" week declared by President Vladimir Putin last week Read more here ⤵️ "
47,2020-03-30 12:52:22+00:00,Trying to get reimbursed for a trip canceled because of coronavirus? Good luck with that. 
48,2020-03-30 12:33:51+00:00,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin will share practical advice for #WFH companies. Attend the Think Leadership Livestream on 3/31 at 1pm ET:
