,Date,Text
38,2020-02-11 11:24:29+00:00,"My current company provides airport transfers to travel industry globally, so we have to navigate issues e.g currency issues in Venezuela, Industrial action in France, protests in Hong Kong, Coronavirus, Seasonality, Wars etc. I find it's more effective to have weekly Sprints."
39,2020-02-11 11:16:44+00:00,💙🎶🦠🎉 #winterbeats #winterbeats2020 #edm #hardstyle #music #party #djs #sick #gestörtabergeilerror #coronavirus #friends #beornottobe #nextyearagain #luvya #ingolstadt #germany @Saturn-Arena https://www.instagram.com/p/B8bLIhblstOv9xbixl6CYOIk3pWdRIdt5jPWPw0/?igshid=1ik2yhiq919hs
40,2020-02-11 10:15:40+00:00,Actually both are important: the index shows lots of lack of happiness And now it’s even worth with #Coronavirus
41,2020-02-11 09:25:07+00:00,#Coronavirus - Weiterhin koordiniert das LEZ die Betreuung der #Qarantäne-Station in #Köpenick und arbeitet dabei eng mit @roteskreuz_de und @SenGPG zusammen um den Gästen den Aufenthalt so angenehm wie möglich zu gestalten und gleichzeitig maximalen Schutz zu gewährleisten. #DRK – at DRK Lage- und Einsatzzentrum
42,2020-02-11 08:55:00+00:00,"„wenn wut angst besiegt.“ ein chinesischer professor nimmt den corona-virus zum anlass, mit der xi jinping regierung abzurechnen. "
43,2020-02-11 08:30:26+00:00,"Internet auf. Lesen, dass in asiatischen Restaurants die Umsätze einbrechen, weil Leute „Angst“ vor dem Corona-Virus haben. Internet zu. Ratlos vor sich hin starren."
44,2020-02-11 07:28:58+00:00,#Coronavirus: Mehr als 1.000 Tote in China - Politiker gefeuert 
45,2020-02-11 05:54:32+00:00,#China meldet mehr als tausend #Tote durch #Coronavirus 
46,2020-02-11 05:52:02+00:00,"Stigmabase — Coronavirus treibt Inflation in China auf höchsten Stand seit 2011: ... zu einer ""ernsten und unmittelbaren Gefahr"" für die öffentliche Gesundheit. ... In Österreich gab es einige Verdachtsfälle, die sich aber nicht bestätigt ... View… http://dlvr.it/RPnnLS"
47,2020-02-11 04:38:23+00:00,What’s happening here? Coronavirus...but make it fashion?
48,2020-02-11 04:27:27+00:00,#Webasto #Coronavirus #Bayern
,Date,Text
0,2020-02-25 20:52:59+00:00,Trump Imposes Tariff On Chinese Coronavirus
1,2020-02-25 18:49:53+00:00,"Coronavirus! I had booked a room in this hotel to visit #SE2020 this week, but had to cancel my trip because of a common cold. All of a sudden, I don’t feel that sorry staying at home..."
2,2020-02-25 17:53:05+00:00,"Thanks, Shelby. I am taking precautions against Corona virus, and putting a slice of lemon down my throat. "
3,2020-02-25 17:05:04+00:00,On a road trip from Berlin to Bonn: every radio news cast starts with news about Coronavirus. No panic.
4,2020-02-25 16:36:54+00:00,Switzerland’s first Corona virus case confirmed 
5,2020-02-25 16:23:43+00:00,My goodness!? I don’t have words ..... Chinese Coronavirus has already infected 30+ world states from 5 continents and 79 000 + infected peoples and 2600 + deaths this is big world problem...... #coronavirus #koronawirus
6,2020-02-25 14:31:24+00:00,"I’m in Berlin this week, reporting on the big private-equity confab @SuperReturn. It’s drawing 3,000+ after Coronavirus kept investors from international travel the past month Here’s my @businessinsider peek ahead, w/ @SaacksAttack @dandefrancesco"
7,2020-02-25 13:26:10+00:00,"#Coronavirus makes china's emissions drop a quarter. If we take the ecological emergency as serious as it is, this is how quick things could change. Its a matter of priorities. Growth or survival? #RebelForLife #actnow #climateemergency"
8,2020-02-25 09:42:33+00:00,"As the #coronavirus spreads across Europe leading to disruptions and insecurity, I wonder if #h2020 meetings should be called off and replaced with online meetings in the coming weeks. What do you think? (writing this, as I am travelling to an H2020 meeting in Spain) 🤔"
9,2020-02-25 07:14:11+00:00,"If Germany suddenly had a new border with Italy, coronavirus might not be our biggest problem... "
10,2020-02-24 14:44:30+00:00,I like crashing markets. Just picked up some cheap $SQ $NIO $DIS $ILMN. Thanks #coronavirus hysteria.
11,2020-02-24 11:40:49+00:00,"No, there is no new strain! I was alluding to the fact that the region has already been dealing with MERS, another coronavirus, in recent years!"
12,2020-02-24 11:33:29+00:00,"With Bahrain, Kuwait and Iraq all announcing first #covid19 cases (most linked to travel to Iran) big question looming as Middle East confronts another coronavirus is how big that outbreak in Iran really is?"
13,2020-02-24 11:05:30+00:00,I call the Lebanese authorities to immediately stop all flights coming from europe to prevent a coronavirus outbreak. Please do this before 2 March. Muchas Gracias 🙏🏻
14,2020-02-24 10:21:23+00:00,It feels so unreal what's happen with the Coronavirus 😢 The only things that we can do is wait and never stop to pray 🙏 May you all stay safe 🍀🍀🍀 
15,2020-02-24 08:28:35+00:00,"Interesting move by my last company, Generali Asia, in offering Coronavirus insurance in China. #generaliasia"
16,2020-02-24 07:24:10+00:00,Reduce your risk from #coronavirus
17,2020-02-23 18:33:42+00:00,Quarantines in effect in some Italian towns over #Coronavirus. No word over whether a 10-seater van full of rich storytellers was spotted heading out of town. (via @TheLocalItaly)
