,Date,Text
33,2020-02-12 08:57:53+00:00,Et voilà.Le mec brode sur la base de fake news et sur l’article du Point annonçant potentiellement 60% de la population infectée... radio pulmonaire avec un effet sanguinolent et patient avec appareil d’assistance respiratoire.Voilà.Vous avez une fake news. Un abruti.#coronavirus 
34,2020-02-12 07:16:36+00:00,"Porque gusta el clickbait. No hay una alerta sanitaria por gripe porque no es puntual, es alerta permanente. El coronavirus no es la primera alerta de la OMS, de otras ni nos hemos enterado"
35,2020-02-12 07:15:10+00:00,En cambio para el coronavirus no tenemos vacuna y no sabemos realmente el peligro que puede suponer. Por ahora la capacidad de infectar y la mortalidad son similares a las de la gripe
36,2020-02-12 05:54:53+00:00,Was läuft hier falsch. Quarantäne Offizier angesteckt! Wie schützt ‘man’ sich? Bio Vollschutz #coronavirus 
37,2020-02-11 22:43:19+00:00,"„China monopolisiert auch die Probleme Taiwans.“ Chiu Chui-cheng, stv. Minister Taiwans für Festland-China, kürzlich in Bern. #coronavirus #coronadis #COVID19"
38,2020-02-11 17:00:14+00:00,#DataScience #coronavirus 
39,2020-02-11 13:42:06+00:00,"Je ne suis pas inquiet nk’ayyends de voir les données et les chiffres. L’Inde comme l’Indonésie sont officiellement libre de #coronavirus. C’est impossible quand on sait qu’il y avait en moyenne 5,000 chinois arrivant par jours en Indonésie pour tourisme..."
40,2020-02-11 11:38:06+00:00,La vraie incertitude vient de l’absence de cas rapportés dans certains pays d’Asie (Indonésie par exemple) ou en Afrique. Volonté politique de cacher les faits ou absence reellle de cas?? #coronavirus
,Date,Text
0,2020-02-24 22:06:42+00:00,"If the coronavirus isn’t contained, a severe global recession is almost certain "
1,2020-02-24 21:35:27+00:00,What countries have been affected by the Novel coronavirus? How many cases are there in China? Real-time updates on the number of cases worldwide. https://infographics.channelnewsasia.com/covid-19/map.html via @ChannelNewsAsia
2,2020-02-24 15:08:46+00:00,"I love Swiss, vi vogliamo bene anche noi 🇨🇭🥰 #grazie #coronavirus #dogana"
3,2020-02-24 14:07:07+00:00,"Elevator rules in #China, to prevent #coronavirus spreading. Pick your corner and stay in your corner. #dailylive #rules"
4,2020-02-24 13:08:29+00:00,⚠️Read thread on #covid19 #coronavirus #coronaviruslombardia
5,2020-02-24 10:58:11+00:00,Potential coronavirus cases aren't even being tested in the US. Recipe for a rude awakening. Only cases with fever + been to Wuhan or exposed to someone who was confirmed to have coronavirus. 
6,2020-02-24 10:52:02+00:00,"With two Corona virus cases in a town close by, it looks like the Swiss will close the border. If they close Milan airport, I will have to get a train home."
7,2020-02-24 08:21:39+00:00,RFS urges China to stop censuring information about coronavirus epidemic 
8,2020-02-23 23:11:33+00:00,"🔴🆘 Dear @RedCross @roteskreuz_de @roteskreuzat @RotesKreuz_ZH @WHO , @WHO , The tyrannical regime in #Iran is not capable of crisis management in order to deal with the spread of the #CoronaVirus. We, the people of Iran need immediate help to avoid a humanitarian disaster. "
9,2020-02-23 22:11:33+00:00,Magnificent thread on the real hit from the #coronavirus 
10,2020-02-23 09:48:53+00:00,Switzerland next... coronavirus commin
11,2020-02-23 09:47:56+00:00,The Rules of Contagion — a study of how a #virus spreads An #InfectiousDisease expert applies mathematics 🧮 to explain the spread and control of #outbreaks via @FinancialTimes #coronavirus #China #science
12,2020-02-23 07:42:18+00:00,Lo sbarco dei 274 #migranti a bordo della #OceanViking è stato autorizzato alla chetichella alle 02:00 dal #governorossogiallo così da evitare che i siciliani organizzassero manifestazioni contro questa ennesima presa in giro. #coronavirusitalia #coronavirus #omnibusla7
13,2020-02-22 13:02:58+00:00,Global shipping holds its breath as coronavirus continue to spread https://www.bimco.org/news/market_analysis/2020/20200221_global_shipping_holds_its_breath
14,2020-02-22 12:51:39+00:00,CoViD-19 #Coronavirus
15,2020-02-22 07:38:58+00:00,"Il tasso di decessi sul totale di infezioni di coronavirus è del 2,3% in Cina. Sotto 1% in altri paesi. Per influenza normale siamo sotto 1x1000 Giusto per saperlo..."
16,2020-02-20 20:43:18+00:00,"#Coronavirus has been blossoming for over a month, yet @britishairways flight BA580 from LHR to MXP had no water in the front toilet. And the crew told me it had been that way for 10 days! What happened to you, #BA? You were the best airline in the world just 20 years ago."
17,2020-02-20 08:35:40+00:00,The newly renovated Norwegian Spirit has cancelled 2020 Asian cruises due to Corona virus outbreak. As of April 2020-October 2020 will perform 7-day cruises Piraeus-Rhodes-Kusadasi/Ephesus-Patmos-Mykonos-Argostoli- Corfu-Santorini-Piraeus. Oct-Nov Ashdod-Haifa-Limassol too 
18,2020-02-18 19:18:51+00:00,My mom threatens to burn my passport because I refuse to cancel my flight to Asia this April. #coronavirus #albanianmothers #lol
