,Date,Text
27,2020-03-25 11:17:41+00:00,한국외대 온라인 강의 중 교수 카톡에 음란영상…학생들 '당황' https://www.yna.co.kr/view/AKR20200325189900004?input=tw 신종 코로나바이러스 감염증(코로나19) 확산으로 대면 수업 대신 온라인 강의를 진행 중인 한국외대에서 강의 중 교수가 메신저로 음란물을 전송받은 장면이 노출돼 논란이 일고 있습니다 pic.twitter.com/l5GiPMRqdF
28,2020-03-25 08:47:48+00:00,G20 화상정상회의라 쓰고 코로나19 진단키트 경매장으로 읽으면 되는건가??? 🍿🍿🍿 
29,2020-03-25 08:40:35+00:00,"코로나19 지속하면 초중고 '온라인개학'…""추가 개학연기 대비""(종합) https://www.yna.co.kr/view/AKR20200325102851004?input=tw 교육부가 신종 코로나바이러스 감염증(코로나19) 확산이 지속하면 학교를 온라인으로 개학하는 방안을 검토합니다 pic.twitter.com/aTpAvW4SYx"
30,2020-03-25 08:01:03+00:00,울나라 코로나19 진단키트... 유럽: made in korea 크게 써줘요!!! 나토: 전략물자라 C-17 급파!!! 미국: FDA 승인 당일처리!!! 일본: 우리도 좀... 한국: 진단키트 이름 독도로 이름붙여도 사실?? 일본: ...... pic.twitter.com/3KGCUA5RAk
31,2020-03-25 07:51:58+00:00,방탄소년단이 3월 24일 전세계 ARMY팬들을 위한 한국어학습 서비스를 공개합니다. 멤버들이 주로 사용하는 표현 등이 교재로 만들어진다고 하는데요~이러한 움직임이 코로나19로 사회적 거리두기를 하고있는 많은 팬들에게 위안이 되길 바랍니다. #BTS #Stay_Strong_World https://bbc.in/3ak95fU
32,2020-03-24 15:17:08+00:00,"""한국은 어떻게 코로나 확산세를 잡았나. 모든 국가 가운데 한국이 가장 눈에 띈다"" 뉴욕타임스 Korea's Fight Against COVID-19 #문재인보유국 #데일리문 https://www.nytimes.com/2020/03/23/world/asia/coronavirus-south-korea-flatten-curve.html?searchResultPosition=1 pic.twitter.com/TXE2BLs68T"
33,2020-03-24 14:11:27+00:00,"이탈리아 72세의 신부님 주세페 베라델리, 코로나 바이러스에 걸려 투병 중 그의 본당에서 그를 위해 구입한 인공 호흡기를 모르는 젊은 환자에게 양보하고 세상을 떠남. pic.twitter.com/p3PTpZs8kq"
34,2020-03-24 05:13:09+00:00,"우리 시는 코로나19로 가장 고통받고 있는 소상공인, 자영업자를 위해 작년 연매출 3억 원 이하 18만6천개 업체에 각100만 원씩 일괄 현금으로 지급합니다. 특수고용자, 프리랜서, 무급 휴직 노동자들에 대한 지원책도 준비중입니다. 중앙정부와 적극 협의해 길을 찾겠습니다. 브리핑 내용 전문입니다. pic.twitter.com/t6KCj3ribu"
35,2020-03-24 05:11:38+00:00,"기업구호 긴급자금 100조 투입... ""코로나19 충격으로 기업이 도산하는 일은 반드시 막겠습니다."" 문재인 대통령 #데일리문"
36,2020-03-24 04:54:04+00:00,🚨코로나19 가짜 뉴스 팩트체크 Q. 신천지 왜 연락두절 되는가?!! A. 사실이 아닙니다. https://www.youtube.com/watch?v=97M46S7J7LA&amp;t=18s
37,2020-03-24 04:19:53+00:00,"[기본소득보다 선택과 집중] 지금은 코로나19로 인해 소비가 편중돼 있습니다. 내수뿐만 아니라 수출도 어렵고요. 예를 들어 위생용품, 보건, 배달음식점 등은 호황, 채소, 반찬 등을 비롯한 생필품은 매출이 유지되고 있습니다."
38,2020-03-23 21:55:54+00:00,코로나 19 사태로 산업생산이 침체된덕에 “사상 최대 규모의 실험”을 성사시켰는데 유럽우주국(ESA)의 센티넬5P 위성으로 이산화질소 농도를 측정해보니 작년과 올해 차이가 매우 확연하다라는 사실을 알 수 있음. https://www.theguardian.com/environment/2020/mar/23/coronavirus-pandemic-leading-to-huge-drop-in-air-pollution?CMP=Share_iOSApp_Other pic.twitter.com/MUqSRRCzDm
39,2020-03-23 18:18:00+00:00,미국 코로나 이후 가정폭력 급증 진짜 전세계 자지들은 몰살이 답이다 pic.twitter.com/rWOM5tA7Bv
40,2020-03-26 02:04:15+00:00,"이노트리-함께하는 사랑밭, 코로나19 구호 물품 서울 지역 저소득 가정에 전달 [시사타임즈 = 박수연 기자] 함께하는 사랑밭과 토탈 IT 서비스 전문기업 이노트리는 23일 코로나19 구호 물품 160상자를 서울 지역아동센터와 보육... http://timesisa.com//news/view.html?section=93&amp;category=98&amp;item=&amp;no=25292"
41,2020-03-26 00:57:46+00:00,영국 찰스 왕세자가 신종 코로나 확진 판정을 받았다 http://huffp.st/VeV0Qj0
42,2020-03-26 00:34:01+00:00,삼일 전 코로나19로 우리 시에서 별세한 환자의 아들 김원태 씨가 '어머님의 마지막을 잘 마무리해 주셔서 감사하다'라는 너무 마음 아픈 감사의 메시지를 보내왔습니다. 우리 시는 김원태 씨와 가족이 이 아픈 상황을 잘 극복할 수 있도록 최선을 다해 돕겠습니다. 다시 한번 고인의 명복을 빕니다. pic.twitter.com/RnYDLUWTDF
43,2020-03-25 23:09:49+00:00,코로나19 확진 미국유학생 20∼24일 제주관광…38명 접촉(종합) https://www.yna.co.kr/view/AKR20200325189851056?input=tw 미국에서 돌아온 유학생이 서울에서 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받기에 앞서 4박 5일간 제주 관광을 한 것으로 파악돼 제주도 방역 당국이...
44,2020-03-25 14:42:31+00:00,"Corea Controls Covid-19 47개국, 한국 진단키트 요청 트럼프 미 대통령, 한국 진단시약 요청 코로나19 해외지원 TF 출범 #문재인보유국 #이것이_국격 #Korea #COVID19Korea pic.twitter.com/QqvmfYxHlM"
45,2020-03-25 13:00:01+00:00,코로나가 쏘아올린 내적갈등 상황 요약 . . . 봄날씨에 나가고 싶어도 잠시 멈춘 당신이 멋져요!👍 ⏸모두를 위한 #잠시멈춤 행동지침⏸ ✔약속·모임은 다음으로 미루기! ✔유증상 시 출근🚫 불필요한 외출🚫 ✔2m 건강거리🙆 / 개인위생수칙 준수🙌 #해치 #HAECHI #사회적거리두기 pic.twitter.com/rzsrBh4rSS
46,2020-03-25 10:55:22+00:00,한국에 진단키트 수출을 요청했던 루마니아가 25일 이웃 국가인 헝가리의 나토(북대서양조약기구) 소속 군용기를 동원해 한국으로부터 진단키트를 긴급 수송했다. 루마니아가 이례적으로 타국의 군용기까지 동원할 만큼 한국의 진단키트가 시급히 필요했던 것으로 보인다https://news.v.daum.net/v/20200325194102191
47,2020-03-25 02:52:53+00:00,"국내 코로나19 DNA백신 개발 첫발…""오늘 영장류에 투여 시작"" https://www.yna.co.kr/view/AKR20200325088800017?input=tw 신종 코로나바이러스 감염증(코로나19) 예방용으로 국내서 개발한 'DNA 백신' 후보물질이 영장류에 처음으로 투여됐습니다."
48,2020-03-24 23:29:42+00:00,우리가 문재인 대통령님을 사랑할 수 밖에 없는 이유입니다. 대구 경북에서 조차 잘한다는 긍정평가가 앞서고 있습니다. 문 대통령님 덕분에 국격 상승을 다시 한번 절감합니다. 고맙습니다. 코로나 대응 잘한다 68.5%..文 지지율 54.8%까지 치솟아 | 다음 뉴스 https://news.v.daum.net/v/20200324092010477
49,2020-03-24 22:17:46+00:00,"병원 내 감염 '0'… 백병원 마스크의 기적 http://news.naver.com/main/read.nhn?mode=LSD&amp;mid=sec&amp;sid1=001&amp;oid=023&amp;aid=0003517595 78세 확진자가 나온 백병원. 병원내 환자, 의료진 250명 검사. 그런데 전원 음성 판정. 감염자가 항상 마스크착용, 병상커튼으로 차단. 코로나 감염자가 마스크만 확실히 쓰면 추가 감염을 막을 수 있다는 사례. pic.twitter.com/co49GS4UvT"
50,2020-03-24 20:52:54+00:00,"코로나19의 원인균인 SARS-CoV2는 계절 독감 등과는 달리 거의 변이를 일으키지 않는 것이 판명, 미국의 연구진이 우한쪽 샘플과 염기서열을 비교해봤을때 차이가 미미했다고. 이는 단일 백신 접종으로 지속적인 보호를 받을 수 있을 것임을 시사. https://www.washingtonpost.com/health/the-coronavirus-isnt-mutating-quickly-suggesting-a-vaccine-would-offer-lasting-protection/2020/03/24/406522d6-6dfd-11ea-b148-e4ce3fbd85b5_story.html"
51,2020-03-24 13:53:35+00:00,"코로나19 때문에 선거운동은 못 한다고 생각했는데 방역 봉사를 하며 더 많은 이웃들을 만납니다. 물론 적당한 거리를 유지하면서요. 방역 봉사 중에 만나는 분들의 사는 이야기도 듣고 마스크 착용과 손씻기 요령을 안내해 드리면서 함께 이겨내고 있습니다. 코로나19, 우리는 꼭 이겨낼 것입니다! pic.twitter.com/OI8vju0PVa"
52,2020-03-24 13:28:24+00:00,대한민국의 큰인물들? 아님 폐기물?
53,2020-03-24 10:35:23+00:00,"MBC여론조사 코로나19에 대한 정부 대응에 : 전국 ['잘하고 있다' 68.5% '잘못하고 있다' 30.7%] 대구,경북 [잘하고있다 21.7% 잘못하고 있다 69.2%] 에~라이 신천지 왜구들 !!!"
54,2020-03-24 08:13:33+00:00,"코로나19와 함께, 우리사회에 충격을 던지고 있는 ‘n번방 사건’. 기술의 발전과 사회 문화적 변화에 따른 특별한 대책이 필요합니다. 야당에 요청합니다. 선거 중이지만 국민이 더욱 중요합니다. 20대 국회 임기가 끝나기 전에 n번방 재발방지 3법의 우선 처리에 동참해 주십시오. #nthroom_stopᅵ pic.twitter.com/bTCa5c4AWn"
55,2020-03-23 15:29:14+00:00,"일반적인 플루는 감염 되었을 시 평균 1.3-1.4병에게 옮기고 그렇게 10단계를 거치면 나는 14병의 감염에 책임이 있는 것이지만 코로나는 평균 3명에게 옮기기 때문에 10단계가 지나면 나는 무려 59,000명의 감염에 책임이 있는 셈. "
56,2020-03-23 11:22:07+00:00,"🌈코로나바이러스감염증-19(코로나19, COVID-19) 관련, 상황의 흐름과 보건 당국의 지침에 따라 행사의 일정 및 방식이 변경될 수 있습니다. 안녕하세요, 서울퀴어문화축제조직위원회입니다. 여러분의 건강과 평안을 염원합니다. (스레드 계속) pic.twitter.com/0ILrS40At6"
