,Text
50,"#CoronaVirus Task Force 🇺🇸 Americans give the president generally positive reviews for his handling of the situation, with 60% approving and 38% disapproving. 94% of #Republicans, 60% of #independents and 27% of #Democrats approve of his response. https://news.gallup.com/poll/298313/president-trump-job-approval-rating.aspx"
51,Coronavirus just cancelled everything
52,"What Coronavirus Symptoms Look Like, Day By Day https://youtu.be/OOJqHPfG7pA via @YouTube"
53,"Fourth coronavirus death reported in Tunisia. A 65 year old Tunisian man from Mahdia lost his life. (He was the 2nd confirmed case in Tunisia, came back from Italy &amp; was later placed in quarantine in Farhat Hached Hosp in Sousse) الله يرحمه و ينعمه💔"
54,"The following is hard to understand👇 The way to get rid of the coronary mystic virus is a military attack on the Iranian terrorist regime! Because the number ""pi"" has no end! I said it's hard to understand!👆 #Sufism_Awakening #Mystic_Corona_Virus "
55,"فحص فايروس كورونا تأكد مما إذا كان لديك أعراض ل فيروس كورونا أو مجرد نزلة برد أو إنفلونزا Corona virus scan Check if you have symptoms of a coronavirus, or just a cold or flu "
56,البروفيسور (انتوني فاوتشي) .. المعاون الطبي لحجة ئلسلام وئلمسلمين ترمب دام عزه ئلخايس ، وأغنية وطنية بعنوان Die die Coronavirus 
57,"As US states ramp up restrictions to contain the #coronavirus, #Texas has joined Ohio in deeming nearly all abortions as non-essential procedures that must be delayed."
58,"We can't let the #coronavirus bailout turn into a handout for Big Oil. Money needs to go directly to workers and people in need, not billionaires and CEOs. We need a #PeoplesBailout. https://thepeoplesbailout.org/ #PeopleNotPolluters"
59,".@HillaryClinton: ""Please do not take medical advice from a man who looked directly at a solar eclipse."" #coronavirus #Trump"
60,#StayHome #StaySafe #LoveUrSelf #takecareofyourself #TakeCareOfUrFamily #StayAtHomeSaveLives #Covid19Out #Hantavirus #MarieJoSchwarz #coronavirus #Curfew #WednesdayThoughts #Quotes #quotesoftheday #GoodMorningWorld
61,SARS-CoV-2 sequencing DDI discovery. Mutating the coronavirus predicts e... https://youtu.be/oqx18WRTnDY via @YouTube عائلة فيروسات كورونا في الدول الموبوءة وعلاقتها برجوع عيالنا الطلبة الله يحفظهم.
62,My mum has a PhD on Corona Virus from WhatsApp University🙃
63,"We can only emerge victorious together. Stay at Home for 21 days starting midnight today! Let’s unite to fight coronavirus because all our lives are at stake. Also, essential commodities are/will be available so don’t panic! Stay Home. Stay Safe. "
64,Corona Virus Travelled Entire World From Wuhan But It Didn't Reached Beijing &amp; Shanghai Why ? 🤔🤔 Can Anyone Explain ?
65,I'm going to say it again...Who would visit a country with unchecked and rampant Coronavirus? Trump is a reckless moron.
66,My Life in Iran During Coronavirus by Jennifer Green in @elemental
67,"Don't trust Mr. Trita Parsi and Mr. Javad Zarif, they are always looking for opportunities to lift the sanctions by lobbying the Iranian people against corona virus is just an excuse to deceive public opinion, Ayatollah Don't trust #COVIDSanctionsLie #IslamicRepublicVirus"
68,If u want to help the community please stay at home. Coronavirus it's not a joke... This is not the time for vacation. Time to heal the land repent to Allah #icantstayathome #frontlinerKSA #nurseksa
69,after Coronavirus I'm not sure
70,"Coronavirus then Hantavirus and it's all within three months, I think we all ganna be zombies on December of this fuck'n year 👽😪☠️"
71,"It’s your life , your decision Sadness is like the Coronavirus, you choose to bring to your life"
72,"@GovPritzker ... take some time to look into Freeport IL HOSPITAL. Denying an individual a test for coronavirus because of lack of supply, but she has every symptom it calls for. Not to mention her history of illinesses the past 2 years as well as severe asthma!! #Fhn #ShameOnYou"
73,أزمة #الكورونا ساهمت برفع الوعي الصحي لدى العالم بطريقة لم تنجح بها الأنظمة الصحية والتعليمية .. #من_رحم_الأزمات .. #Rana_Al_Allaf #Covid_19 #CoronaVirus #خليك_بالبيت
74,"Capitalism continues; Next season: Coronavirus, What does not kill me makes me stronger"
75,Reclama c o Corona vírus
76,eu e meus 3m de perna pedimos pf parem de ter corona virus ! 
77,Iran launches telemedicine call center to expedite coronavirus fight #Iran #CoronaVirus #CoronaVirusIran
