,Text
48,El primer cubata que me beba despues de la quarentena me va a hacer más daño que el coronavirus.....
49,"Pensamientos compartidos durante el aislamiento por coronavirus, a modo de diario, de un guía de turismo... Día #10 https://www.arqueonatura.org/dia-10/"
50,#España #CLM confirma 2.465 casos positivos por infección de coronavirus COVID-19 @gobjccm @SanidadAlbacete @SanidadCR
51,"Basta de medios afines. La noticia es: La industria se pone en marcha para afrontar la guerra contra corona virus, a pesar de la inacción del gobierno. "
52,Duque admite que el Gobierno ya conocía en enero la gravedad del coronavirus: 
53,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
54,el coronavirus me ha obligado a ser sano 🚬🙈
55,Para los que estamos devorando papers sobre el Coronavirus y otras epidemias. Abajo noticias 👇 
56,
57,"Gravitas: After coronavirus, a new disease kills one in China https://youtu.be/jq1E2j-_HXU vía @YouTube @navedelmisterio @doctorgaona ???"
58,Porfa q se acabe esta pesadilla del coronavirus que necesito salir a vivir la vida e
59,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
60,"Sin querer quitar importancia a la pandemia de coronavirus, me está empezando a preocupar la pandemia de rabia, intransigencia, egoísmo y resentimiento que parece afectar a muchos. Este es mi último tuit negativo. A partir de ahora, a pensar en el día de salir, y con ganas!!!"
61,https://www.youtube.com/watch?v=MfatXsgxGcw&amp;feature=youtu.be&amp;fbclid=IwAR2ENvyLo6t33uO5x-T547hsmo0L4ooDLQma2FArGWMKJpZdkmva_AbzoLY y después del #Coronavirus ... La regeneración de los ecosistemas
62,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
63,"El coronavirus está machacando todo, quien nos diría hace años que se produciría una burbuja deportiva #chiringuitoencasa"
64,No me convence del todo este nuevo nombre para el coronavirus 
65,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
66,Reporteros Sin Fronteras rastrea cómo la censura china contribuyó a expandir el coronavirus | Blog Hechos | EL PAÍS 
67,https://www.larazon.es/madrid/20200324/jqpd6bov3ng2dogdsjgcw6d2qi.html @ComunidadMadrid #Vivienda #coronavirus
