,Text
54,"After seeing President Trump say chloroquine is a candidate, an Arizona man took chloroquine phosphate and died believing it would protect him from getting the #coronavirus https://www.youtube.com/watch?v=oq2Q_mV6XUI https://theintercept.com/2020/03/24/trump-hyped-chloroquine-cure-covid-19-man-arizona-took-died/ PS: Indication show Chloroquine is likely ineffective."
55,"#Coronavirus während für das bayrische Fussvolk Kontaktsperre und Ausgangssperre gilt, kann sich der Thai-König in #Bayern vergnügen. Die #Söder-CSU macht es möglich."
56,I have a feeling Yahaya Bello will test positive for corona virus
57,"it takes more or less 10 to 15 days for Covid-19 to kill so you just need to wait for it. Also, in Italy we count as ""covid death"" people died ""with"" Coronavirus, not necessarily ""because of"" Coronavirus."
58,"How South Korea Flattened the Coronavirus Curve UNLIKE AMERICA who don’t test dead people to track and isolate exposed people, never mind alive sick people. America playing with the numbers and costing lives. "
59,I’m so thankful that *your president* is optimistic that the country will be open by Easter but let’s get real here. This is a bipartisan issue. The coronavirus is not going anywhere anytime soon. Especially while you’re still not following the rules. 🗣
60,How South Korea Scaled Coronavirus Testing While the U.S. Fell Dangerously Behind — ProPublica 
61,Who will volunteer to recreate this picture after surviving self-quarantine/government lockdown/social distancing after the Coronavirus pandemic? 
62,Coronavirus Disease (COVID-19) – the data - Our World in Data 
63,"Hi Rebecca! I'm a producer for Switzerland's public Broadcaster in DC. We're planning a tv piece about the coronavirus and I guess you are unemployed because of it, right? I wonder if you would be interested in doing a skype interview with us? Thank you for reading! Best, Deniz"
64,"Thanks. To clarify though, I actually did not mean SARS, but rather subtypes of the novel coronavirus itself. When I asked the question, I had HIV reinfections in mind, where infections with multiple strains is possible and dangerous..."
65,Tokyo Olympics postponed to 2021 due to coronavirus pandemic 
66,Status Update (March 24) on information regarding new coronavirus (COVID-19) situation in Switzerland and the region.See information (including for tourists and travellers) and recommendations by Swiss Govt at- https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov.html. Advisories attached. @MEAIndia @MoHFW_INDIA
67,Die Entzauberung des Boris Johnson durch das Coronavirus 
68,"A ver si le queda claro al señor López lo que está haciendo. A ver si su gabinete lo ayuda a salir del letargo cuando no sea demasiado tarde, cuando ya el país se haya convertido en un cementerio totalmente. Besos, abrazos y estampas contra el coronavirus "
69,Pourquoi je ne risque pas d'être infecté par le corona virus ? Parce qu'i'm a gorilla in a fuckin' coupe 
70,Coronavirus may have infected half of UK population — Oxford study https://www.ft.com/content/5ff6469a-6dd8-11ea-89df-41bea055720b via @financialtimes
71,"Meines Wissens gehört das Coronavirus auch nicht zur Gattung Homo sapiens sapiens. Man hat auch schön gehört, dass es Infektionen im Tierreich gibt. Und dass das RKI keine One-man-show ist, ist auch bekannt. Deshalb bitte: Greifen Sie den Mann nicht mit stummer Klinge an!"
72,"I'm filing that one next to the queue I witnessed outside of Louis Vuitton on Bahnhofstrasse in Zürich, because they had a 50 pax max capacity rule due to the Coronavirus just over a week ago."
73,"Coronavirus, Santori: ""Salvini sciacallo, fiducia in governo"" "
74,This is why a president with dementia can not make decisions. Remove Donald Trump now. Lock up Barr now. BBC News - Coronavirus: Trump wants US open for business amid pandemic 
75,"Sending evenings making music. 👌🎹🎧 #quarantine #Musicproducer #coronavirus #abletonlive #abletonpush #push2 #beatmaker #zurich #switzerland #ukproducer #ukhiphop #ukmusicproducer @Zürich, Switzerland https://www.instagram.com/p/B-IeBSSBtX5/?igshid=1ir2da9qghbp9"
76,Travel and the coronavirus pandemic: Everything you need to know 
77,"In #Spagna, secondo paese in Europa più colpito dalla #pandemia, ci sono stati 514 decessi nelle ultime 24 ore, particolarmente colpita la regione di #Madrid. #coronavirus "
78,"Gold reserves to last just 2 weeks in Switzerland. Gold dealers have closed stores due to #coronavirus, while demand for physical gold has soared. The 4 leading refineries have also closed (as have minters), so dealers will be unable to replenish stock for online sale. "
79,"Coronavirus patient in Unispital Zürich got Ebola-medication and survived, despite her initially very poor condition. #CoronaVirusSwitzerland #COVID19 #COVIDー19 #Coronavirus "
80,"Quando due nerd sono rinchiusi in casa per il coronavirus e proseguono nella visione delle serie del Dottor Who... e ""la"" nerd (io) ha competenze grafiche! 😂 #sterilize #sterilizza #amuchina #coronavirus #corona… https://www.instagram.com/p/B-IdTonhyBT/?igshid=8twrig8tthoq"
81,"Ora i lombardi si muovono effettivamente di meno, lo dicono i dati delle celle telefoniche https://www.varesenews.it/2020/03/ora-lombardi-si-muovono-effettivamente-meno-lo-dicono-dati-delle-celle-telefoniche/913888/ #coronavirus"
82,Yuval Noah Harari: the world after coronavirus | Free to read 
83,Ces instants haletants où l’on se croirait en plein tournage avec eux et leurs valises 🧳 remplies de cochon 🐖 merci @EmmanuelMacron et toute ta secte #LREM je n’aurais jamais imaginé devenir une star 🌟 #confinement 🖕🏻 #covid19 #coronavirus | la #Chloroquine c’est pour quand ?
84,"I like this: Hey all, I wanted to let people know that I am recovering from the C word, yes, #coronavirus - I must admit, when it dawned on me my first reaction was one of embarrassment, even shame! However, now I am coming out the other side, I have felt the need to…https:…"
85,Wie viele Verstorbene gibt es? Kantone und Bund melden massiv unterschiedliche Opferzahlen zum #coronavirus #COVID19 ⁦@renzfabian01⁩
