,Text
48,@EmmanuelMacron @PoliceNationale Any answers here? If this is the example being set we're all fucked! Coronavirus lockdown in France leads to the brutalisation of minorities @TRTWorld
49,What are you saying? That’s is one of the most selfish and dangerous things to say. You are effectively asking people to spread the coronavirus outside of London.Therefore increasing the amount of infections and deaths. Dumb isn’t the word! Fucking DANGEROUS and IRRESPONSIBLE is!
50,"**Coronavirus Update** We understand that a lot of you guys are frustrated, as are we with the current turn of events here in the uk. Our warehouse is now closed until we hear from the government that we can reopen. Our telephone &amp; email support will continue 💙 #StayHome"
51,UK Fenestration Shuts Down: https://www.doubleglazingblogger.com/2020/03/uk-fenestration-shuts-down/ #CoronaVirus
52,The UK when Coronavirus goes: #wba
53,Ascension Timeline/End of Coronavirus Meditation April 4th/5th 2020 – En... https://youtu.be/85VBXsXHzfs via @YouTube
54,"Outdoor exercise is still a great way to stay fit...With gyms closed due to coronavirus, what are your safest exercise options? "
55,BBC News - #Coronavirus: #Supermarkets limit shoppers as rules tighten
56,"#handwashing DRYING THOROUGHLY is just as important! MOISTURISER keep skin intact! Dry, cracked hands harbour more pathogens Treat every person &amp; every surface as INFECTED! Protect EYES, MOUTH &amp; NOSE! Meticulous #Hygiene ! #SocialDistancing Fight #COVID19 #coronavirus #UPDATE"
57,#StayAtHomeSaveLives #coronavirus
58,"Did anyone else just learn that there have been 18,800 deaths from coronavirus this year... but also 111,500 deaths from the SEASONAL FLU THIS YEAR. 😶"
59,@okdiario Este no lo habéis puesto en vuestro panfleto Coronavirus: El vídeo de la vergüenza de la sanidad en Madrid: la planta del hospital que Ayuso mantiene cerrada 
60,When everyone else in your class is complaining about having to stay inside and you're an introvert and are completely fine 😘 #CoronavirusLockdown #covid19Canada #covid19 #CoronaVirusCanada #CoronaVirus #introvert #IntrovertLife
61,"As Europe fights coronavirus and climate, is 'green stimulus' the way? "
62,"True, but one could flip that argument. If Abe's political longevity now rely on the efficacy of state coronavirus response, then it is even more uncertain. Politics hasn't been indefinitely suspended, and another crucial anchor by which his premiership was justified has fallen."
63,Infographic: What is your trust’s biggest area of concern related to the Coronavirus outbreak - 
64,"Hello Layla, have you seen what they’ve done in NZ? ⬇️ A stunningly democratic way of handling a national crisis. 🤓✊ #COVID19 #coronavirus 🦠 https://twitter.com/paddydocherty/status/1242585493503705088?s=21"
65,"If you don’t believe the corona virus was planned and man made watch that, it was made in 2018!!! "
66,@okdiario Este no lo habéis puesto en vuestro panfleto Coronavirus: El vídeo de la vergüenza de la sanidad en Madrid: la planta del hospital que Ayuso mantiene cerrada 
67,"Sometimes I like to sit on my hand until it goes numb and then wash it to protect myself from the coronavirus so it feels like someone else is doing it and I'm not trapped indoors, isolated from humanity. Happy Wednesday! #HumpDay #CoronavirusLockdown"
68,Coronavirus I Hate You. 
69,#RT It originated in #Wuhan province in #China. Being the fastest transmitting virus #coronavirus has become #pandemic so fast. WHO praises India but Modi's #janatacurfew has formed biggest #cacophony &amp; biggest #silence in history https://bit.ly/2UdrNAy
70,"Right now, families, older people and those who need shielding from #coronavirus could be evicted. Last night, @RobertJenrick failed to protect all renters, his emergency-law does not stop the 20,000 evictions going through our courts. He must now go further and #endevictions"
71,@CNN #coronavirus speculation- higher death rate in men due to lifestyle choices - eg smoking &amp; drinking - so it's all our own fault :)
72,Serious announcement from Police ওল্ডহ্যামে মাইকিং করে পুলিশ জনসাধারণকে ঘরে থাকার অনুরোধ জানাচ্ছে। ব্রিটেনে এমন অবস্থা এর আগে হয়েছে কিনা জানা নেই। এক অজানা আতঙ্কে পুরো জাতি। #StayHome #Coronavirus #Uklockdown
73,"He just said on the news that 1/3 of all tube drivers are ""off sick"", evidently they all have Coronavirus or have decided to self-isolate. Righty ho. Those guys are on such a cushy number, massive salaries and the first opportunity they all do a sickie."
74,CNBC crypto show host launches fund for startups hit by coronavirus 
75,Please please please go read @ParisLesley Instagram story. The “Corona Virus” one. I’m just speechless. Wow.
76,ADOLF BOLSONARO HITLER esse e o novo nome do bolsonaro depois do pronunciamento criminoso de hoje vai brasileiro .. vai la pras ruas mesmo vai pegar onibus lotado .. metro .. abre as escolas .. faz a suruba toda e espalha mais coronavirus quero pro circo pegar fogo
77,legit think i have coronavirus 🙁
78,Wonder Woman 1984 Pushed to August Because of Coronavirus Pandemic http://dlvr.it/RSVYF4
79,'Every man for himself!' How coronavirus pandemic has exposed bloc's contradictions http://dlvr.it/RSVYF1
80,Covfefe=corona virus plus FeFe 
81,It’ll be great when the coronavirus understands this Time To Go 
82,"Well lets take that further. Swine flu pandemic of 2009 that killed 150,000 to 575,000 worldwide and the Spanish flu from 1918 that killed 50 to 100 million worldwide were both mostly distributed from the USA. Do you want to shame them as well ? #coronavirus "
83,Holy shit....The man next door doesn’t even have to tweak this one.....the look on her face is the best silent comedy punch line expression since Harpo...He’s a parody of a parody of himself here...even the chairs thought what the fuck is he bringing us into a Coronavirus Q&amp;A for
84,If you’re in the UK and your leave expires between 24 January 2020 and 31 May 2020 Your visa will be extended to 31 May 2020 if you cannot travel due to #COVID-19. BUT you must contact the Coronavirus Immigration Team (CIT). https://bit.ly/3bt1Sup #UKVI #immigration
85,"Confirmed cases & deaths outside PRC, as of 24/03/2020. Deaths in Italy are ticking up again. #nCoV2019 #coronavirus #COVID19 #COVID2019"
86,Well no one thought one man in Wuhan getting the coronavirus would lead to a world pandemic bit here we are. Allah swt can take and give in one simple second is all I'm saying
87,Because they have the corona virus
88,Estate agencies asked to close as coronavirus fears grow - can you still move house? #Property https://www.express.co.uk/life-style/property/1259734/estate-agents-uk-agency-property-market-coronavirus-covid-19-uk-latest-news
89,Journalist Beatriz Rodríguez was arrested today for reporting coronavirus cases. She was detained for several hours then released as she refused to reveal her sources. 
90,"The true damage that coronavirus has caused is the prevalence of fucking horrendous Insta stories, any more of these and I'm gonna go get coughed on"
91,Feel like we're living in someone's SimCity save and they've just hit the disaster button #Coronavirus
92,"I emailed my downstairs neighbour (the nice one) last night because she's 70 and from America, she went back to the states beginning of Jan, presumed she was due to be back home soon. She caught coronavirus off the plane. Lucky to be alive"
93,Remember when Wayne’s World 2 predicted the Coronavirus? 
94,I have lost 6 months work ahead this year because of Covid 19. I need help. PLEASE Protect the self-employed by supporting the ‘statutory self-employed pay’ amendment in today’s Coronavirus bill @karren_brady @XXFactorFacts @VictimsComm This amendment: https://publications.parliament.uk/pa/bills/cbill/58-01/0122/amend/coronavirus_daily_cwh_0320rev.14-18.html
95,"Coronavirus Doesn't Do Beautiful!!! @realDonaldTrump ""...a beautiful time"" #Easter #IsThisManOnPlanetEarth #Wow"
96,"#coronavirus everybody sanitize 😀😀 Stay home, save lives 🙌🏽 Stay Safe 🙏🏽 #tuesday #workout #nikeairmax #nike #run #trailrunning #runhappy #runner #runningcommunity #nikeplusrunning #runner #runninginspiration… https://www.instagram.com/p/B-IoBn9HQQJ/?igshid=1iq8rt399c94g"
97,"aparentemente, de acordo com os GÊNIOS DA ANÁLISE POLÍTICA, ter coronavirus é motivo pra ele cair (ou por meio de impeachment, ou por meio de não sei oq) tinha q ser num tweet do @alefrota77"
98,Bande de trou du cul le coronavirus exister deja depuis des années faut juste pas etre con et s’informer un peu c’est tout 
99,"Coronavirus. Isn’t it funny how when we’re in deep shit, suddenly, we can afford socialism 🙄"
100,I’m studying her of a thing - so I watch her live-streams. Her stuff on coronavirus is really really mad.
101,Where are all the celebs at the moment with their massive donations that they give whenever a disaster strikes or there's a charity in need? #COVID19 #coronavirus #CoronavirusLockdown #StayHome
102,Singing for fans at a secret underground rave #Coronavirus #AnimalCrossing #ACNH #NintendoSwitch
103,Check out these good home hygiene tips for fighting the spread of Coronavirus and #win some @miltonbaby products
104,"N pode, coronavirus"
105,Coronavirus: Dyson develops ventilators for NHS 
106,Coronavirus spreading in New York like 'a bullet train' I blame Trump for this 
107,"Comic Con Fans Had Coronavirus Refunds Stolen, Organizer Alleges in Fraud Lawsuit "
108,"The numbers behind coronavirus, infections (confirmed and projected multiples) + increasing death rate (today over 2,300 worldwide) is just getting frightening. To think we’re still some way from the peak."
109,Coronavirus has changed our world. Suddenly we face a stark choice: distance or death 
110,"'Confused, dangerous, flippant': rest of world pans PM's handling of coronavirus "
111,"If you use the coronavirus as an excuse to ramble on about politics, your dad's favourite TV show is Waterloo Road"
112,UK Parliament: Close construction sites now to stop the spread of coronavirus. - Sign the Petition! http://chng.it/SM4wQFyH via @UKChange
113,BBC News - Coronavirus: Supermarkets limit shoppers as rules tighten 
114,Wonderful Coronavirus creativity 
115,Coronavirus: Virus crisis pushes fabric firm into administration 
