,Text
44,Coronavirus : voici la nouvelle attestation à remplir pour.. https://www.aujourdhui.press//news/271571/coronavirus-voici-la-nouvelle-attestation-a-remplir-pour-vous-deplacer
45,En sachant que j'ai le coronavirus c'est un peu choquant cque tu me dis
46,Coronavirus: Neymar provoque un scandale au Brésil https://doingbuzz.com/coronavirus-neymar-provoque-un-scandale-au-bresil/
47,Énième scandale : l’État refuse de répondre depuis 2 mois aux industriels français qui proposent de fabriquer des respirateurs pour sauver les malades du Coronavirus ! 
48,"#coronavirus #etsionbougeait #sportsante Tous les jours suivez nos cours live sur groupe Facebook : coronavirus et si on bougeait , à très vite @CathyLallement @RoxaMaracineanu @martinfkde @teddyriner 12h : bougez vos ados/enfants 18h : cours pour les adultes"
49,Arizona man dies after attempting to take Trump coronavirus 'cure' 
50,"Coronavirus : Aide-soignante à Toulouse, ses voisins lui demandent de déménager par peur du Covid-19 https://actu17.fr/coronavirus-aide-soignante-a-toulouse-ses-voisins-lui-demandent-de-demenager-par-peur-du-covid-19/ via @Actu17"
51,"#Coronavirus 📢Scoop Pour soutenir l'économie et l' Hôpital Public, Macron annonce : -Le retour de l'#ISF -Une taxe à 50% sur les dividendes -le durcissement des peines de prisons pour les fraudeurs fiscaux . . . . . Naan, j'déconne😉 Il va juste supprimer le code du travail🤬"
52,"Coronavirus: en Espagne, la sidération face au nombre de morts https://rfi.my/5bx6.t"
53,@raoult_didier bonsoir docteur moi je crois en vous et je vous fais confiance merci à faire des teste et des recherches contre le coronavirus
54,Selección natural (?) #coronavirus #COVID19
55,"Le coronavirus ne provoque pas cela, c'est le #connarovirus qui provoque ça !!"
56,Japanese comedian Ken Shimura hospitalized for coronavirus #COVID19
57,"En vrai vous cassez les couilles, pour ceux qui l'ont pas compris déjà les coronavirus c'est une famille qui ont la même base génétique donc c'est logique qu'ils décrivent les même symptômes que ceux actuelles et bordel lisez des livres sur la science ça vous fera du bien "
58,"Pas faux, après c’est vrai les coronavirus c’est une famille de virus en soit"
