,cluster,subjectivity,polarity
0,0,0.37929206736991894,0.03887994328033865
1,1,0.3584320864891045,0.06505393947680013
2,2,0.4462928688043318,0.1327798356826742
3,3,0.34724556140057866,0.034982120349961336
4,4,0.4096810618613757,0.06239161897740231
5,5,0.39668370027720806,0.07608170394049775
6,6,0.13649638587711982,0.02125370679269762
7,7,0.20819349792122066,0.04832926149757833
