date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-08 14:30:03,PatristicsFan,,7,7,46,"This is how we deal with the Coronavirus. ",,,,1247894478410543110,https://twitter.com/PatristicsFan/status/1247894478410543110
2020-04-08 14:16:24,BillNeelyNBC,,166,852,1759,"New York City’s death toll from #coronavirus- 4,009- is now higher than the terrorist attacks of 9/11. The US had its worst single day of deaths Tuesday- 1,997-with a total of nearly 13,000. New York State is #COVID19 epicenter- more cases than Italy, which has X3 its population.",,,#coronavirus #COVID19,1247891044571598851,https://twitter.com/BillNeelyNBC/status/1247891044571598851
2020-04-08 14:11:20,nazirafzal,,2575,1971,22369,"My dear eldest brother Umar has passed away at home today The certificate will say “Natural Causes” but he tested + for coronavirus Let him be remembered for the joy he gave us all, not the way he died May he rest in peace I miss him terribly ",,,,1247889771730370560,https://twitter.com/nazirafzal/status/1247889771730370560
2020-04-08 14:06:29,timfarron,,1648,317,3069,"I’ve had a fever and persistent cough since Saturday and so have been self-isolating as a precaution. NHS 111 have now advised that it’s likely that I do have coronavirus and so I will continue to be in self-isolation for the rest of the week. (1/2)",,,,1247888548465786884,https://twitter.com/timfarron/status/1247888548465786884
2020-04-08 14:04:02,youareyouokk,,0,3,16,"Like Play Like Play Corona virus have cancelled this Easter The way I bore no... ",,,,1247887932108595203,https://twitter.com/youareyouokk/status/1247887932108595203
2020-04-08 13:56:14,t0nit0ne,,101,10690,48785,"A hospital in Thailand is protecting babies from coronavirus using little face shields. Look at the crowns... I CANNOT DEAL ",,,,1247885971904839681,https://twitter.com/t0nit0ne/status/1247885971904839681
2020-04-08 13:53:02,BBCScotlandNews,,80,60,140,"Official reports on #coronavirus deaths now to include age and gender ",,,#coronavirus,1247885166669774856,https://twitter.com/BBCScotlandNews/status/1247885166669774856
2020-04-08 13:52:58,guardian,,220,91,220,"If coronavirus doesn't discriminate, how come black people are bearing the brunt? | Afua Hirsh ",,,,1247885148546150401,https://twitter.com/guardian/status/1247885148546150401
2020-04-08 13:48:29,MENnewsdesk,,76,44,219,"Family-of-six stopped by police and turned back after driving 80 miles to the Lake District from Wigan for a trip out during the coronavirus lockdown ",,,,1247884017631776769,https://twitter.com/MENnewsdesk/status/1247884017631776769
2020-04-08 14:27:51,MayorofLondon,,11,33,147,"London’s funders have raised more than £10 million for groups helping communities affected by #COVID19. This is a fantastic first step, but civil society groups need much more. I’m calling on the Government to step up &amp; provide funding to those who desperately need it.",,,#COVID19,1247893925253115904,https://twitter.com/MayorofLondon/status/1247893925253115904
2020-04-08 14:23:52,irwinjc,,1,0,3,"Truth . #coronavirus ",,,#coronavirus,1247892924416659466,https://twitter.com/irwinjc/status/1247892924416659466
2020-04-08 14:12:13,nezulet,,1,0,11,"ykno me just waiting on coronavirus to clear up so I can buy spare parts to fix my tablet ",,,,1247889992413663232,https://twitter.com/nezulet/status/1247889992413663232
2020-04-08 13:48:26,10DowningStreet,,70,502,901,"Thinking of seeing friends and family this Easter? Don’t. If you leave home, you could catch or spread #coronavirus. #StayHomeSaveLives",,,#coronavirus #StayHomeSaveLives,1247884005178933248,https://twitter.com/10DowningStreet/status/1247884005178933248
2020-04-08 13:44:22,fiona_parker14,,1,2,9,"In today's Money Mail: Nursery fee nightmare! #money #childcare #coronavirus ",,,#money #childcare #coronavirus,1247882984125902850,https://twitter.com/fiona_parker14/status/1247882984125902850
2020-04-08 13:43:37,paulapeters2,,2,20,24,"#Coronavirus lessons should be learnt from New Zealand. ",,,#Coronavirus,1247882796602818565,https://twitter.com/paulapeters2/status/1247882796602818565
2020-04-08 13:39:10,DJSiri,,0,14,25,"Russian President Vladimir Putin has compared medics treating patients suffering from coronavirus to the military fighting on the frontlines as he announced salary increments for them amounting to up to over $1,000.",,,,1247881675935121417,https://twitter.com/DJSiri/status/1247881675935121417
2020-04-08 13:30:10,jocialofficial,,0,215,17," Coronavirus: anyone can get it, anyone can spread it Stay at home - do NOT meet up with friends. #StayHomeSaveLives | #coronavirus ",,,#StayHomeSaveLives #coronavirus,1247879410339819520,https://twitter.com/jocialofficial/status/1247879410339819520
2020-04-08 13:23:21,leicesterliz,,8,48,122,"Social care desperately needs a higher priority & focus during #Coronavirus crisis. I’ve again raised lack of PPE &amp; testing for social care staff with @MattHancock incl for home care workers and around 135k Personal Assistants employed via Direct Payments. pic.twitter.com/zTaFrlINmb",,@MattHancock,#Coronavirus,1247877693305163782,https://twitter.com/leicesterliz/status/1247877693305163782
2020-04-08 13:14:17,SkyNews,,398,1253,1687,"Coronavirus: Another 828 patients die in hospital in England - taking total to 6,483 ",,,,1247875414787338240,https://twitter.com/SkyNews/status/1247875414787338240
2020-04-08 12:56:39,Darren94775262,,30,33,235,"Janet Street Porter thinks that Keir Starmer should take over from Boris Johnson whilst he's incapacitated. Right. They have an 80 seat majority. They are in power. That's it. Amazing the prominence given to people who have no clue what they're talking about. #coronavirus",,,#coronavirus,1247870976777486336,https://twitter.com/Darren94775262/status/1247870976777486336
2020-04-08 12:44:16,SkyNews,,292,201,567,"Coronavirus: Men playing cricket in London park run from police as they flout lockdown restrictions ",,,,1247867859449061381,https://twitter.com/SkyNews/status/1247867859449061381
2020-04-08 12:41:21,kickassminer,,1,0,6,"Terrible to see what coronavirus has done to Tom hanks (image via the Sun newspaper) ",,,,1247867126527877120,https://twitter.com/kickassminer/status/1247867126527877120
2020-04-08 12:30:15,HarridgePike,,1,1,0,"Coronavirus is racist. Apparently... ",,,,1247864329623539713,https://twitter.com/HarridgePike/status/1247864329623539713
2020-04-08 12:20:56,georgeeaton,,20,321,581,"The coronavirus crisis has shown that the welfare state is not ""a burden"" but a form of collective insurance against life's hazards: ill-health, unemployment, the death of a partner. It should never have been so weakened by cuts. ",,,,1247861987998130182,https://twitter.com/georgeeaton/status/1247861987998130182
2020-04-08 11:49:41,MarkDiStef,,264,345,603,"Breaking: I'm told the Jewish Chronicle - one of the UK's top Jewish news publications - will soon go into liquidation, seeking a buyer to survive the coronavirus crisis.",,,,1247854123241934850,https://twitter.com/MarkDiStef/status/1247854123241934850
2020-04-08 11:49:40,PrisonPlanet,,251,1184,2669,"A self-proclaimed registered nurse took to Twitter to suggest that she would not give someone emergency medical treatment for coronavirus if he was a Trump supporter. ",,,,1247854119177670656,https://twitter.com/PrisonPlanet/status/1247854119177670656
2020-04-08 11:43:49,Okeating,,64,1222,8790,"They've spelt ""coronavirus"" wrong. ",,,,1247852646976966662,https://twitter.com/Okeating/status/1247852646976966662
2020-04-08 11:30:00,DHSCgovuk,,124,2741,3168,"Meeting with friends in the park could put those close to you in danger People can pick up coronavirus (#COVID19) and be unaware that they have it. Don’t take the risk - stay at home ",,,#COVID19,1247849169286389760,https://twitter.com/DHSCgovuk/status/1247849169286389760
2020-04-08 11:11:18,SkyNews,,225,117,308,"Anti-malarial drug hydroxychloroquine has not been tested for treatment of #coronavirus but that hasn't stopped Donald Trump promoting it as a potential ""game changer"" ",,,#coronavirus,1247844465127182338,https://twitter.com/SkyNews/status/1247844465127182338
2020-04-08 11:25:44,GOVUK,,69,874,1067,"Thinking of seeing friends and family this Easter? Don’t. If you leave home, you could catch or spread #coronavirus. #StayHomeSaveLives",,,#coronavirus #StayHomeSaveLives,1247848094521331713,https://twitter.com/GOVUK/status/1247848094521331713
2020-04-08 11:06:50,lizmayessex,,0,7,17,"Continuing to Breastfeed Your Baby Through Coronavirus (COVID-19) and Other Respiratory Infections. #breastfeeding #HumanMilk",,,#breastfeeding #HumanMilk,1247843339296280578,https://twitter.com/lizmayessex/status/1247843339296280578
2020-04-08 10:45:00,itvnews,,27,71,240,"Wuhan residents describe leaving home for the first time in 70 days as coronavirus lockdown lifted ",,,,1247837843466190856,https://twitter.com/itvnews/status/1247837843466190856
