date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 19:22:58,Tough_Muller,,1,28,22,"You took my dad from me when I was 3, now I'm 6.5 y-o. If my dad gets corona virus disease, I will never see it. Leave my dad now. I miss him so much. Eşitİnfazİçin MeclisGöreve @vonderleyen",,@vonderleyen,,1248330582695780353,https://twitter.com/Tough_Muller/status/1248330582695780353
2020-04-09 18:45:00,Ruptly,,1,18,37,"Lemur the merrier! Baby #lemur named ‘Covid’ after #coronavirus pandemic #Krasnodar",,,#lemur #coronavirus #Krasnodar,1248321027140026369,https://twitter.com/Ruptly/status/1248321027140026369
2020-04-09 17:01:01,euronews,,0,17,20,"The medical world is slowly getting to grips with the novel #coronavirus, but is learning new, seemingly contradictory things about it all the time. How do experts deal with chasing the true face of the disease? ",,,#coronavirus,1248294860962123781,https://twitter.com/euronews/status/1248294860962123781
2020-04-09 15:33:00,dwnews,,9,26,72,"Germany is a major maker of machines for face masks, but it's still struggling to set up its own national production.",,,,1248272709039132674,https://twitter.com/dwnews/status/1248272709039132674
2020-04-09 14:45:49,AP_Europe,,8,79,189,"The appearance of whales off the coast of southern France is the latest indication that coronavirus lockdowns for humans are providing a respite for nature. @johnleicester reports: http://apne.ws/jAijXHT",,@johnleicester,,1248260834754732033,https://twitter.com/AP_Europe/status/1248260834754732033
2020-04-09 12:30:00,dw_environment,,0,9,9,"As #IndiaBattlesCoronavirus, some 86% of homes in the slums of #India's capital do not have a tap, depending instead on tankers of some kind to deliver supplies.",,,#IndiaBattlesCoronavirus #India,1248226655451021312,https://twitter.com/dw_environment/status/1248226655451021312
2020-04-09 12:08:56,emilyrs,,0,1,3,"Pretty damning account from @POLITICOEurope of how the EU dropped the ball on preparing for, and mitigating, the effects of the #COVIDー19 outbreak in Europe:",,@POLITICOEurope,#COVID,1248221354677211139,https://twitter.com/emilyrs/status/1248221354677211139
2020-04-09 12:08:11,Paul_Imanuelsen,,0,15,23,"BREAKING: Sweden reports 721 new cases and 112 new deaths today. This is BY FAR the biggest increase so far in both number of cases and number of deaths. The total coronavirus numbers in Sweden are now: - 9,233 cases - 807 deaths - 8.7% death rate ",,,,1248221165509885952,https://twitter.com/Paul_Imanuelsen/status/1248221165509885952
2020-04-09 11:47:03,redfishstream,,5,172,188,"The coup regime in Bolivia sent soldiers to the border with Chile to prevent Bolivian migrant workers from coming home. As elections are postponed & a lockdown implemented, the government of Jeanine Añez is criticized for its harsh coronavirus response that leaves many behind. ",,,,1248215848441044992,https://twitter.com/redfishstream/status/1248215848441044992
2020-04-09 11:43:21,EU_Startups,,0,9,8,"To learn about how the #coronavirus crisis is impacting startup &amp; technology events in Europe, we did a survey with about 30 international startup &amp; technology events. Here is what we found: ",,,#coronavirus,1248214915791364096,https://twitter.com/EU_Startups/status/1248214915791364096
2020-04-09 11:38:00,dw_business,,0,0,1,"#ethiopian airlines - the CEO of Africa's largest airline on the effects of the coronavirus crisis #coronavirus ",,,#ethiopian #coronavirus,1248213569042173952,https://twitter.com/dw_business/status/1248213569042173952
2020-04-09 11:00:12,alfrep28,,1,18,31,"Good news from Italy, the second largest European medical #cannabis market. Access keeps growing rapidly, and current supply situation is surprisingly good despite coronavirus. via @mjbizdailyintl",,@mjbizdailyintl,#cannabis,1248204057359126528,https://twitter.com/alfrep28/status/1248204057359126528
2020-04-09 07:40:35,AndreasShrugged,trvrb,3,9,35,"Germany: https://www.medrxiv.org/content/10.1101/2020.04.04.20053637v1 Paper by @Helmholtz_HZI",,@Helmholtz_HZI,,1248153823790727168,https://twitter.com/AndreasShrugged/status/1248153823790727168
2020-04-09 06:23:35,KokoMUC,,1,10,19,"Very important publication from @CALDirector Celso Arango regarding psychiatric care in Madrid and #COVID19",,@CALDirector,#COVID19,1248134442817814528,https://twitter.com/KokoMUC/status/1248134442817814528
2020-04-08 19:16:18,YangZhang1982,,0,0,0,"Some words written by a German doctor about coronavirus ",,,,1247966515644661760,https://twitter.com/YangZhang1982/status/1247966515644661760
2020-04-08 16:59:36,starkeyhearing,,0,12,31,"During this challenging time, we have the unique opportunity to help our local community, country & the world. We are proud to transition our manufacturing efforts into producing disposable face shields for medical professionals on the front lines. https://cbsloc.al/2JQweeE",,,,1247932115561349135,https://twitter.com/starkeyhearing/status/1247932115561349135
2020-04-08 14:30:22,dpa_intl,,0,1,0,"Iran has laid out plans to lift coronavirus lockdown measures in three phases as the outbreak is slowly brought under control ",,,,1247894559759011842,https://twitter.com/dpa_intl/status/1247894559759011842
2020-04-08 13:11:33,dw_politics,,0,28,20,"The foreign press has published some misleading stories about why Germany's #COVID19 mortality rate is so low. @ElizSchumacher explores the truth behind the rumors:",,@ElizSchumacher,#COVID19,1247874723729588226,https://twitter.com/dw_politics/status/1247874723729588226
2020-04-08 10:14:05,EU_Finance,,26,251,365,"While we're working hard to fight the #coronavirus, our efforts to create a greener &amp; cleaner economy don’t stop @EU_Commission is launching a consultation on the future strategy on sustainable finance. Have your say by 15 July. #SustainableFinanceEU #EUGreenDeal",,@EU_Commission,#coronavirus #SustainableFinanceEU #EUGreenDeal,1247830064600940544,https://twitter.com/EU_Finance/status/1247830064600940544
2020-04-09 16:00:34,euronews,,0,6,18,"With MEPs largely working from home due to lockdown measures, the @Europarl_EN building is free to be used in the fight against #coronavirus. ",,@Europarl_EN,#coronavirus,1248279645541277697,https://twitter.com/euronews/status/1248279645541277697
2020-04-09 15:32:02,24_7info,,0,0,0,"#JehovahsWitnesses #conventionJehovah'sWitnesses https://youtu.be/UA2U3LG7FDs via @YouTube",,@YouTube,#JehovahsWitnesses #conventionJehovah,1248272466063101952,https://twitter.com/24_7info/status/1248272466063101952
2020-04-09 15:27:10,therealLewis4,,0,0,0,"How disappointing, others survive with no increase. MP’s expense increase “to work from home” without the checks and balances... #covid #ParliamentLeaders",,,#covid #ParliamentLeaders,1248271240860782595,https://twitter.com/therealLewis4/status/1248271240860782595
2020-04-09 14:34:00,PES_PSE,,0,14,23,"Good information is essential to fight the coronavirus. Read news from different media you trust and compare them. Don't buy every whatsapp message you get. #COVID19",,,#COVID19,1248257861190385669,https://twitter.com/PES_PSE/status/1248257861190385669
2020-04-09 14:00:25,EPSUnions,,0,4,13,"Breaking: Sadly Italy reports 100 workers have now died from #Coronavirus. Our thoughts are with their families, co-workers. We remember #solidarity",,,#Coronavirus #solidarity,1248249412083519490,https://twitter.com/EPSUnions/status/1248249412083519490
